CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
50360,SALITA A PORTA DELLE CHIAPPE,13,1,P,N,6,44
21090,LARGO PAOLO DANEO,22,8,D,N,1,3
15320,VIA CERTOSA,5,5,D,R,1,89
22620,VIA NICOLO' DODERO,23,8,P,R,2,72
25615,VIA FIUMARA,9,2,D,N,3,15
14260,VIA BERNARDO CASTELLO,14,1,P,N,2,8
64940,PIAZZA DELLA VITTORIA,15,8,P,R,2,154
31340,LUNGOPARCO GROPALLO,13,1,D,N,1,3
27820,VIALE FRANCESCO GAMBARO,23,8,D,N,1,31
33800,SALITA ALDO LI GOBBI,13,1,D,N,11,11
20260,VIA NUOVA DI CREVARI,1,7,P,N,26,150
6340,VIA VINCENZO BLELE',16,3,P,N,2,8
32820,VIA SOTTO I LASCI,25,9,P,N,0X,0X
3370,PIAZZETTA MARIO BAISTROCCHI,15,8,P,N,0X,0X
16740,PIAZZETTA CHIGHIZOLA,12,1,P,R,2,2
13720,VIA DEL CASONE,7,5,P,N,20,20A
65040,VIA ANDREA VOCHIERI,3,7,D,R,3,7
29680,VIA GINEVRA,14,1,D,N,31,37
28640,VICO AL GAZZO,4,6,P,R,2,28
69615,PIAZZETTA EMILIO TRAVERSO,4,6,P,N,0X,0X
4380,VIA SAN BARTOLOMEO DEL FOSSATO,10,2,P,N,98,118
52600,VIA REDIPUGLIA,24,9,P,R,2,64
37820,VIA GIACOMO MEDICI DEL VASCELLO,23,8,D,R,1C,7
39580,PIAZZA DEL MONASTERO,9,2,P,N,2,6
35940,PIAZZALE MARASSI,18,4,P,R,2,28
90450,MERCATO VIA GEIRATO,2,7,P,N,0,0
35780,VIA MANTINI,25,9,P,N,2,14
36180,VIA AL MARE,25,9,P,N,2,8
4920,VIA VINCENZO BELLINI,8,6,P,N,2,4
56360,VIA SARDORELLA,6,5,D,N,39,135
5960,VIA GIUSEPPE BIANCHERI,4,6,D,R,1,79
48860,VIA PISA,23,8,D,R,1,99
1960,VICO DI SANT'ANTONIO,12,1,D,N,1,5
60720,VIA GIUDITTA TAVANI,9,2,P,R,2,20
35225,VIA GIUSEPPE LUCIANO MAGNONE,24,9,P,N,8,12
48660,VIA PINO DI MURTA,6,5,P,N,4,60
17720,VIA CLAVAREZZA,17,3,D,N,1,31
32060,VIA ISOCORTE,7,5,P,N,2,18
52980,VIA RAFFAELE RICCA,17,3,D,R,1,25
42000,PIAZZA DEI NATTINO,4,6,P,R,2,10
61660,VIA ALLA TORRE DELL'AMORE,23,8,D,N,1,9
52300,VIA GEROLAMO RATTO,2,7,D,R,15,81
4260,PASSO DI SAN BARTOLOMEO,13,1,P,R,2,18
51640,VIA GIACOMO PUCCINI,4,6,P,R,2,72
61040,VIA TEODORO SECONDO DI MONFERRATO,3,7,D,R,1,25
61800,PASSO TORRENTE NERVI,25,9,D,N,3,7
13400,VICO DEI CASAREGGIO,12,1,D,R,1,3
51740,VIALE QUARTARA,24,9,P,N,2,34
61360,VICO TIRO,1,7,P,N,2,4
23865,VIA DELLE ERICHE,24,9,D,N,19,69
55640,VIA EMILIO SALGARI,3,7,D,R,53,55
63180,VICO VALORIA,12,1,P,R,2,50
30820,VIA ANTONIO GRAMSCI,12,1,D,R,1,271
60860,VICO DEL TEATRO NAZIONALE,12,1,P,N,2,2
36680,VIA DELLA MARINA,14,1,D,R,1,15
19980,VIA INFERIORE COSTIGLIOLO,25,9,P,N,4,6A
36840,VIA AL MARO,19,4,D,N,1,19
36560,SALITA SANTA MARIA IN VIA LATA,14,1,D,R,31,41
29860,VIA SAN GIORGIO,12,1,D,N,1,1
24420,VICO DELLE FASCIUOLE,12,1,D,R,1,15
50220,VIA PORCILE,6,5,P,N,0,10
49020,VIA DEI PLATANI,18,4,D,R,1,123
9400,VIA CA' DE MUSSI,18,4,P,N,2,4
22980,VIA GAETANO DONIZETTI,4,6,D,R,1,129
58040,VIA SERRATO,20,4,D,N,1,7
25160,VIA PIETRO FESSIA,17,3,P,R,16,30
35420,VIA MARIO MALFETTANI,9,2,D,R,1,25
23030,PIAZZALE PONTE DORIA,10,2,P,N,0X,0X
54260,VIA ROMA,14,1,P,R,16,78
2040,VICO FERRANTE APORTI,9,2,D,R,1,23
26340,VIA DEL FORTE DI SAN GIULIANO,23,8,D,R,7,13
64120,VIA FALIERO VEZZANI,5,5,D,N,1,109
10800,VIA CAMPOMORONE,7,5,P,N,18,76
10420,VICO DEL CAMPANILE DELLE VIGNE,12,1,D,R,1,19
11680,VIA STEFANO CANZIO,9,2,P,R,2,56
9760,VIA CAFFARO,13,1,P,R,2,124
56010,VIA SANT'AGATA FELTRIA,3,7,P,N,0X,0X
13620,VIA CASELLE,7,5,P,N,2,6
64200,VICO VIANI,5,5,D,N,3,3
15700,VIA DEL CHIAPPAZZO,18,4,P,R,2,36
35860,PIAZZA MANZONI,16,3,P,R,2,26
62540,VICO AL TROGOLETTO,12,1,D,R,1,11
22260,VIALE AMMIRAGLIO GIORGIO DES GENEYS,24,9,D,R,1,61
39800,BELVEDERE LUIGI MONTALDO,13,1,P,N,2,2
13100,VIA CARSO,18,4,D,N,1,111
3260,VIA NICOLO' BACIGALUPO,12,1,P,N,2,6
